Epoch: 67, Train Loss: 0.027731814627304507, Valid Loss: 0.027658049353960424
Epoch: 68, Train Loss: 0.027658288558091174, Valid Loss: 0.027658049353960424
Epoch: 69, Train Loss: 0.027572544953068136, Valid Loss: 0.027383880695237457
Epoch: 70, Train Loss: 0.027430887209520718, Valid Loss: 0.027383880695237457
Epoch: 71, Train Loss: 0.027415912233249337, Valid Loss: 0.027383880695237457
Epoch: 72, Train Loss: 0.027283661592636527, Valid Loss: 0.027346207966637368
Epoch: 73, Train Loss: 0.027213366152467368, Valid Loss: 0.027346207966637368
Epoch: 74, Train Loss: 0.02713411853040342, Valid Loss: 0.027346207966637368
Epoch: 75, Train Loss: 0.02702131624999483, Valid Loss: 0.0269716055805104
Epoch: 76, Train Loss: 0.027022314708606374, Valid Loss: 0.0269716055805104
Epoch: 77, Train Loss: 0.026894959358683718, Valid Loss: 0.0269716055805104
Epoch: 78, Train Loss: 0.026838914053890196, Valid Loss: 0.02675885513797973
Epoch: 79, Train Loss: 0.026768700648501807, Valid Loss: 0.02675885513797973
Epoch: 80, Train Loss: 0.0266851183122781, Valid Loss: 0.02675885513797973
Epoch: 81, Train Loss: 0.0266464831921394, Valid Loss: 0.02661388360333909
Epoch: 82, Train Loss: 0.026542035437437626, Valid Loss: 0.02661388360333909
Epoch: 83, Train Loss: 0.026464028168080102, Valid Loss: 0.02661388360333909
Epoch: 84, Train Loss: 0.026433539812834292, Valid Loss: 0.026472940293310366
Epoch: 85, Train Loss: 0.02638964747584521, Valid Loss: 0.026472940293310366
Epoch: 86, Train Loss: 0.026342641811471515, Valid Loss: 0.026472940293310366
Epoch: 87, Train Loss: 0.026292189371506815, Valid Loss: 0.0263076931705084
Epoch: 88, Train Loss: 0.026188185048831615, Valid Loss: 0.0263076931705084
Epoch: 89, Train Loss: 0.026162527213670357, Valid Loss: 0.0263076931705084
Epoch: 90, Train Loss: 0.02609777366542989, Valid Loss: 0.02615437163668609
Epoch: 91, Train Loss: 0.026035302941627547, Valid Loss: 0.02615437163668609
Epoch: 92, Train Loss: 0.02604905288397511, Valid Loss: 0.02615437163668609
Epoch: 93, Train Loss: 0.02600131970384025, Valid Loss: 0.026045881496110444
Epoch: 94, Train Loss: 0.025925454496157296, Valid Loss: 0.026045881496110444
Epoch: 95, Train Loss: 0.025879264684631628, Valid Loss: 0.026045881496110444
Epoch: 96, Train Loss: 0.025875066471654475, Valid Loss: 0.02591006972183071
Epoch: 97, Train Loss: 0.02580176794845032, Valid Loss: 0.02591006972183071
Epoch: 98, Train Loss: 0.025838665690658937, Valid Loss: 0.02591006972183071
Epoch: 99, Train Loss: 0.025735144778785687, Valid Loss: 0.02581254472908363
